Timestamp,Location,Traffic_Volume,Avg_Speed_kmh,Congestion_Level,Rainfall_mm,Metro_Construction_Active,Is_Weekend
2025-01-01 00:00:00,Silk Board Junction,1291,29.7,25.8,0.0,1,0
2025-01-01 01:00:00,Silk Board Junction,1234,30.1,24.7,0.0,1,0
2025-01-01 02:00:00,Silk Board Junction,1100,31.2,22.0,0.0,1,0
2025-01-01 03:00:00,Silk Board Junction,1299,29.6,26.0,0.0,1,0
2025-01-01 04:00:00,Silk Board Junction,1198,30.4,24.0,0.0,1,0
2025-01-01 05:00:00,Silk Board Junction,1268,29.9,25.4,0.0,1,0
2025-01-01 06:00:00,Silk Board Junction,3214,14.3,64.3,0.0,1,0
2025-01-01 07:00:00,Silk Board Junction,2660,18.7,53.2,0.0,1,0
2025-01-01 08:00:00,Silk Board Junction,4767,5.0,95.4,0.0,1,0
2025-01-01 09:00:00,Silk Board Junction,4900,5.0,98.0,0.0,1,0
2025-01-01 10:00:00,Silk Board Junction,4900,5.0,98.0,0.0,1,0
2025-01-01 11:00:00,Silk Board Junction,4900,5.0,98.0,0.0,1,0
2025-01-01 12:00:00,Silk Board Junction,2323,21.4,46.5,0.0,1,0
2025-01-01 13:00:00,Silk Board Junction,2809,17.5,56.2,0.0,1,0
2025-01-01 14:00:00,Silk Board Junction,2897,16.8,58.0,0.0,1,0
2025-01-01 15:00:00,Silk Board Junction,3133,14.9,62.7,0.0,1,0
2025-01-01 16:00:00,Silk Board Junction,2919,16.6,58.4,0.0,1,0
2025-01-01 17:00:00,Silk Board Junction,4900,5.0,98.0,0.0,1,0
2025-01-01 18:00:00,Silk Board Junction,4900,5.0,98.0,0.0,1,0
2025-01-01 19:00:00,Silk Board Junction,4900,5.0,98.0,0.0,1,0
2025-01-01 20:00:00,Silk Board Junction,4900,5.0,98.0,0.0,1,0
2025-01-01 21:00:00,Silk Board Junction,4900,5.0,98.0,0.0,1,0
2025-01-01 22:00:00,Silk Board Junction,2591,19.3,51.8,0.0,1,0
2025-01-01 23:00:00,Silk Board Junction,1439,28.5,28.8,0.0,1,0
2025-01-02 00:00:00,Silk Board Junction,1437,28.5,28.8,0.0,1,0
2025-01-02 01:00:00,Silk Board Junction,1027,31.8,20.5,0.0,1,0
2025-01-02 02:00:00,Silk Board Junction,1669,26.6,33.4,0.0,1,0
2025-01-02 03:00:00,Silk Board Junction,841,33.3,16.8,0.0,1,0
2025-01-02 04:00:00,Silk Board Junction,1389,28.9,27.8,0.0,1,0
2025-01-02 05:00:00,Silk Board Junction,1062,31.5,21.3,0.0,1,0
2025-01-02 06:00:00,Silk Board Junction,2741,18.1,54.8,0.0,1,0
2025-01-02 07:00:00,Silk Board Junction,3272,13.8,65.5,0.0,1,0
2025-01-02 08:00:00,Silk Board Junction,4801,5.0,96.0,0.0,1,0
2025-01-02 09:00:00,Silk Board Junction,4900,5.0,98.0,0.0,1,0
2025-01-02 10:00:00,Silk Board Junction,4900,5.0,98.0,0.0,1,0
2025-01-02 11:00:00,Silk Board Junction,4900,5.0,98.0,0.0,1,0
2025-01-02 12:00:00,Silk Board Junction,2795,17.6,55.9,0.0,1,0
2025-01-02 13:00:00,Silk Board Junction,3012,15.9,60.2,0.0,1,0
2025-01-02 14:00:00,Silk Board Junction,2632,18.9,52.6,0.0,1,0
2025-01-02 15:00:00,Silk Board Junction,2316,21.5,46.3,0.0,1,0
2025-01-02 16:00:00,Silk Board Junction,2839,17.3,56.8,0.0,1,0
2025-01-02 17:00:00,Silk Board Junction,4900,5.0,98.0,0.0,1,0
2025-01-02 18:00:00,Silk Board Junction,4900,5.0,98.0,0.0,1,0
2025-01-02 19:00:00,Silk Board Junction,4900,5.0,98.0,0.0,1,0
2025-01-02 20:00:00,Silk Board Junction,4900,5.0,98.0,0.0,1,0
2025-01-02 21:00:00,Silk Board Junction,4900,5.0,98.0,0.0,1,0
2025-01-02 22:00:00,Silk Board Junction,2787,17.7,55.8,0.0,1,0
2025-01-02 23:00:00,Silk Board Junction,2311,21.5,46.2,6.5,1,0
2025-01-03 00:00:00,Silk Board Junction,1260,29.9,25.2,0.0,1,0
2025-01-03 01:00:00,Silk Board Junction,1029,31.8,20.6,0.0,1,0
2025-01-03 02:00:00,Silk Board Junction,1432,28.5,28.7,0.0,1,0
2025-01-03 03:00:00,Silk Board Junction,1202,30.4,24.0,0.0,1,0
2025-01-03 04:00:00,Silk Board Junction,1090,31.3,21.8,0.0,1,0
2025-01-03 05:00:00,Silk Board Junction,1405,28.8,28.1,0.0,1,0
2025-01-03 06:00:00,Silk Board Junction,2829,17.4,56.6,0.0,1,0
2025-01-03 07:00:00,Silk Board Junction,2687,18.5,53.8,0.0,1,0
2025-01-03 08:00:00,Silk Board Junction,4900,5.0,98.0,0.0,1,0
2025-01-03 09:00:00,Silk Board Junction,4900,5.0,98.0,0.0,1,0
2025-01-03 10:00:00,Silk Board Junction,4696,5.0,93.9,0.0,1,0
2025-01-03 11:00:00,Silk Board Junction,4900,5.0,98.0,0.0,1,0
2025-01-03 12:00:00,Silk Board Junction,2551,19.6,51.0,0.0,1,0
2025-01-03 13:00:00,Silk Board Junction,2477,20.2,49.5,0.0,1,0
2025-01-03 14:00:00,Silk Board Junction,2783,17.7,55.7,0.0,1,0
2025-01-03 15:00:00,Silk Board Junction,2756,17.9,55.1,0.0,1,0
2025-01-03 16:00:00,Silk Board Junction,2629,19.0,52.6,0.0,1,0
2025-01-03 17:00:00,Silk Board Junction,4900,5.0,98.0,0.0,1,0
2025-01-03 18:00:00,Silk Board Junction,4900,5.0,98.0,0.0,1,0
2025-01-03 19:00:00,Silk Board Junction,4900,5.0,98.0,0.0,1,0
2025-01-03 20:00:00,Silk Board Junction,4900,5.0,98.0,6.7,1,0
2025-01-03 21:00:00,Silk Board Junction,4900,5.0,98.0,0.0,1,0
2025-01-03 22:00:00,Silk Board Junction,3137,14.9,62.8,0.0,1,0
2025-01-03 23:00:00,Silk Board Junction,1078,31.4,21.6,0.0,1,0
2025-01-04 00:00:00,Silk Board Junction,1214,30.3,24.3,0.0,1,1
2025-01-04 01:00:00,Silk Board Junction,1037,31.7,20.8,0.0,1,1
2025-01-04 02:00:00,Silk Board Junction,995,32.0,19.9,1.7,1,1
2025-01-04 03:00:00,Silk Board Junction,1230,30.2,24.6,0.0,1,1
2025-01-04 04:00:00,Silk Board Junction,717,34.3,14.4,0.0,1,1
2025-01-04 05:00:00,Silk Board Junction,804,33.6,16.1,0.0,1,1
2025-01-04 06:00:00,Silk Board Junction,1601,27.2,32.0,0.0,1,1
2025-01-04 07:00:00,Silk Board Junction,1750,26.0,35.0,0.0,1,1
2025-01-04 08:00:00,Silk Board Junction,3570,11.4,71.4,0.0,1,1
2025-01-04 09:00:00,Silk Board Junction,3442,12.5,68.9,0.0,1,1
2025-01-04 10:00:00,Silk Board Junction,3330,13.4,66.6,0.0,1,1
2025-01-04 11:00:00,Silk Board Junction,2782,17.7,55.6,0.0,1,1
2025-01-04 12:00:00,Silk Board Junction,1619,27.0,32.4,0.0,1,1
